"scientific_name","midpoint_cc","releveCode"
"Aster pubentior",3,"SOUTHERN RICH CONIFER SWAMP"
"Aster pubentior",4,"SOUTHERN SEEPAGE MEADOW/CARR"
"Aster pubentior",15,"SOUTHERN TERRACE FOREST"
"Aster pubentior",7,"SOUTHERN WET PRAIRIE"
"Aster sagittifolius",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Aster sagittifolius",1,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aster sericeus",6,"Dry Sand Gravel Prairie Southern"
"Aster sericeus",6,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aster sericeus",4,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Aster umbellatus",2,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Astragalus agrestis",3,"SOUTHERN MESIC PRAIRIE"
"Astragalus canadensis",1,"SOUTHERN MESIC PRAIRIE"
"Astragalus crassicarpus",3,"Dry Sand Gravel Prairie Southern"
"Astragalus crassicarpus",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Athyrium filix-femina",4,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Athyrium filix-femina",5,"SOUTHERN DRY-MESIC OAK FOREST"
"Athyrium filix-femina",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
